product_id,title,description,brand,category
1,Airplane Piggy Bank,The sweetest gift!,,
2,PostuEase™ - Justerbart hållningsbälte för ryggen,"Förändra din hållning, lindra smärta och återfå självförtroendet! Orsakar sned rygg obehag och påverkar ditt självförtroende? Längtar du efter en lösning som kan lindra belastningen på rygg och axlar? Tänk dig att stå rakryggad och stolt, fri från bördan av dålig hållning. Är det inte dags att omfamna ett liv utan de begränsningar som slokande hållning innebär? PostuEase™ erbjuder omfattande stöd och korrigering för både män och kvinnor, främjar korrekt ryggradsinriktning och minskar belastningen på ryggmuskler och axlar, vilket resulterar i en revitaliserad hållning. Fler anledningar till varför våra kunder älskar PostuEase™: ✔️Lindra smärta: Säg adjö till ryggvärk och obehag med vår PostuEase™ hållningskorrigering. Den justerbara designen ger riktat stöd för att lindra smärta orsakad av dålig hållning. ✔️Förhindra slokande: Få slut på slokande och förbättra din hållning utan ansträngning. PostuEase™ drar försiktigt axlarna bakåt och hjälper dig att bibehålla en hälsosam och upprätt p",,
3,Panama Man,"Description The refined tradition of Italian tailoring by 100% Capri meets the sophisticated elegance of French craftsmanship in the creation of the iconic Panama hat. Expertly handwoven from premium natural straw , the Panama Man hat acquires its distinctive shape through careful pressing and steaming techniques. Flexible yet firm in style, this accessory is finished with an elegant cotton grosgrain ribbon , emphasizing the timeless and exclusive design synonymous with the 100% Capri brand. 95% Straw / 5% Cotton Care and Maintenance: USE a soft brush to dust off / DO NOT get it wet / after use STORE in the 100% Capri case. Sustainable Product Made in France Packaging and Shipping Shoppers, hat-boxes shoppers, and garment bags, whereas necessary,are entirely realized with 100% finest linen, respecting 100% Capri environmental sustainability philosophy.",,
4,Column capital KK13,"Elevate your column's beauty with our exquisite Column capital KK13. This decorative element adds sophistication and refinement, transforming your column into a stunning focal point. Precision-crafted and artistically designed, our column capital encapsulates the timeless elegance of classical architecture, enhancing the aesthetic appeal of any space.",,
5,Conn 62HI Bass Trombone Outfit Independent Valves,Conn 62HI Bass Trombone Outfit Independent Valves,,
6,Premier Soccer,"Master the essentials for winning soccer from one of the game's most successful coaches. In Premier Soccer, Michael Parker, the wins leader among active NCAA Division I men's soccer coaches, teaches every key technique and tactic, with accompanying drills and special tips for executing them when the match is on the line. Premier Soccer tackles the skills and traits necessary for each position on the field, both offensively and defensively, as well as systems, set plays, restarts, and practice drills. With an emphasis on player development, on-field awareness, conditioning, and team play, Parker reveals his proven approach to team and player success. Whether you are a player or coach, this is your guide to consistent and winning play at every level of competition.",,
7,Vishay LED Displays TDSG1160,"Vishay, TDSG1160 Vishay 7-Segment LED Display, CC Green 6 mcd RH DP 7mm",,
8,"SOG SEAL XR 3.9"" Folding Pocket Knife (Blackout)","SOG SEAL XR 3.9"" Folding Pocket Knife (Blackout)",,
9,Florida Gators PS5 VarsityWrapz,"Florida Gators PS5 Console Skin Officially licensed Florida Gators PS5 wrap – precision fit, vibrant orange and blue design, and durable vinyl protection for your PlayStation 5 Disc or Digital Edition. Features 🐊 Perfect fit for PS5 Disc and Digital models with full port access. 🛡️ Protects from scratches, dust, and fingerprints. 🎨 Bold University of Florida colors and Gators logo. ⚡ Easy bubble-free application and residue-free removal.",,
10,"Konper Original Large Music Stand. Compatible with Yamaha PSR/YPT/KB/P/DGX Series Keyboard Music Score Stand, Keyboard Sheet Music Stand with 4 Music Book Clip",,,
